Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.676499,0.330837,0.67584,0.336426,0.675168,0.343179,0.680023,0.281593,0.68472,0.210899,0.594617,0.328447,0.599742,0.333335,0.609023,0.33833,0.625026,0.276217,0.650112,0.213376,0.759407,0.208832,0.754017,0.195025,0.740039,0.155334,0.721237,0.10352,0.691953,0.0948785,0.573217,0.197854,0.582657,0.18515,0.61071,0.149563,0.644392,0.0999399,0.674019,0.0954348,0.691018,0.025048,0.686385,0.0678976,0.685866,0.0884082,0.687369,0.107416,0.682239,0.139804,0.678156,0.159724,0.674778,0.175465,0.673525,0.199116,0.669441,0.20788,0.671411,0.0571308,0.669827,0.0503995,0.681289,0.0507152,0.668726,0.0543595,0.701862,0.0552124,0.602592,0.350204,0.612937,0.349321,0.679768,0.354913,0.66836,0.353465,0.594203,0.338753,0.604236,0.337939,0.680891,0.341943,0.669833,0.3406,0.589348,0.331671,0.599206,0.330895,0.681663,0.334246,0.670802,0.332963,0.644392,0.0999399,0.61071,0.149563,0.582657,0.18515,0.721237,0.10352,0.740039,0.155334,0.754017,0.195025,0.650112,0.213376,0.625026,0.276217,0.609023,0.33833,0.599742,0.333335,0.68472,0.210899,0.680023,0.281593,0.675168,0.343179,0.67584,0.336426,
2,0.676481,0.330811,0.675829,0.336397,0.675189,0.343146,0.680018,0.281561,0.684755,0.210898,0.594802,0.328459,0.599922,0.33335,0.609182,0.338354,0.625158,0.27625,0.650126,0.213325,0.759436,0.208832,0.754062,0.195001,0.740108,0.155319,0.721335,0.103516,0.692056,0.0948761,0.573366,0.197908,0.582767,0.185152,0.61082,0.149548,0.644522,0.0999686,0.674096,0.0954145,0.691089,0.025035,0.686468,0.0678845,0.68594,0.088394,0.68741,0.1074,0.682286,0.139794,0.678208,0.159716,0.674828,0.175457,0.673546,0.199106,0.669464,0.207859,0.671461,0.0571231,0.669885,0.0503924,0.68134,0.0507046,0.66881,0.0543524,0.701926,0.055195,0.602791,0.35024,0.61314,0.349323,0.679708,0.3549,0.668306,0.353396,0.594399,0.338784,0.604436,0.337935,0.680842,0.341938,0.66979,0.34054,0.589542,0.331698,0.599403,0.330889,0.681622,0.334246,0.670768,0.332908,0.644522,0.0999686,0.61082,0.149548,0.582767,0.185152,0.721335,0.103516,0.740108,0.155319,0.754062,0.195001,0.650126,0.213325,0.625158,0.27625,0.609182,0.338354,0.599922,0.33335,0.684755,0.210898,0.680018,0.281561,0.675189,0.343146,0.675829,0.336397,
3,0.67648,0.330789,0.675842,0.336371,0.675247,0.343116,0.68,0.281523,0.684846,0.210901,0.594925,0.328478,0.600049,0.333368,0.609294,0.338373,0.625318,0.276243,0.650197,0.213333,0.759458,0.208864,0.754122,0.194962,0.740201,0.155297,0.721488,0.103504,0.692203,0.094869,0.573487,0.197946,0.5829,0.185174,0.610967,0.149564,0.644683,0.100014,0.674221,0.0953693,0.691118,0.0250076,0.686581,0.0678589,0.68607,0.0883674,0.687488,0.107373,0.68233,0.139771,0.678248,0.159699,0.674875,0.175445,0.6736,0.199098,0.669536,0.20786,0.671514,0.0571165,0.669936,0.0503953,0.681386,0.0506795,0.668901,0.05437,0.701999,0.0551314,0.602974,0.350286,0.613325,0.349307,0.679698,0.354886,0.668302,0.353338,0.594557,0.33883,0.604596,0.337922,0.680824,0.34193,0.669778,0.34049,0.589682,0.331745,0.599545,0.330877,0.681601,0.334243,0.670752,0.332863,0.644683,0.100014,0.610967,0.149564,0.5829,0.185174,0.721488,0.103504,0.740201,0.155297,0.754122,0.194962,0.650197,0.213333,0.625318,0.276243,0.609294,0.338373,0.600049,0.333368,0.684846,0.210901,0.68,0.281523,0.675247,0.343116,0.675842,0.336371,
4,0.676441,0.33077,0.675824,0.33634,0.675269,0.343062,0.680103,0.281482,0.684905,0.210852,0.595019,0.328515,0.600167,0.333402,0.609436,0.338402,0.625427,0.276252,0.650254,0.213299,0.759477,0.208886,0.754187,0.194927,0.740273,0.155264,0.721593,0.103489,0.692328,0.0948593,0.573643,0.197967,0.583058,0.185184,0.611107,0.14955,0.644796,0.100008,0.67432,0.0953431,0.691172,0.0250083,0.686676,0.0678565,0.686166,0.0883596,0.687547,0.107369,0.682377,0.139762,0.678299,0.159683,0.67493,0.175424,0.673653,0.199074,0.669592,0.207824,0.671544,0.0571873,0.669978,0.050449,0.681415,0.0507364,0.668993,0.0543733,0.702055,0.0551444,0.603175,0.35034,0.613522,0.349304,0.679703,0.354839,0.668308,0.353287,0.594702,0.33889,0.604737,0.337926,0.680798,0.341904,0.669753,0.340459,0.589792,0.331809,0.599651,0.330887,0.681558,0.334228,0.67071,0.332844,0.644796,0.100008,0.611107,0.14955,0.583058,0.185184,0.721593,0.103489,0.740273,0.155264,0.754187,0.194927,0.650254,0.213299,0.625427,0.276252,0.609436,0.338402,0.600167,0.333402,0.684905,0.210852,0.680103,0.281482,0.675269,0.343062,0.675824,0.33634,
5,0.676429,0.330744,0.675823,0.336301,0.675285,0.342996,0.680102,0.281442,0.685004,0.210835,0.595108,0.328562,0.600299,0.333441,0.609636,0.338427,0.62555,0.276231,0.650324,0.213261,0.759465,0.208928,0.754287,0.194915,0.740404,0.15528,0.721714,0.103515,0.692491,0.094845,0.573798,0.198009,0.583209,0.185202,0.611279,0.149583,0.644963,0.10006,0.674441,0.0952936,0.69122,0.0249793,0.686793,0.0678278,0.686283,0.0883281,0.687601,0.107338,0.682424,0.139736,0.678357,0.15966,0.674998,0.175402,0.673712,0.199054,0.669667,0.207799,0.671575,0.0571955,0.67002,0.0504572,0.681443,0.0507284,0.669099,0.0543733,0.702119,0.0550973,0.603411,0.350386,0.613746,0.349309,0.679729,0.354776,0.668332,0.353236,0.594853,0.338949,0.604878,0.337946,0.680801,0.341863,0.669755,0.34043,0.589892,0.331875,0.599742,0.330915,0.681548,0.334198,0.6707,0.332825,0.644963,0.10006,0.611279,0.149583,0.583209,0.185202,0.721714,0.103515,0.740404,0.15528,0.754287,0.194915,0.650324,0.213261,0.62555,0.276231,0.609636,0.338427,0.600299,0.333441,0.685004,0.210835,0.680102,0.281442,0.675285,0.342996,0.675823,0.336301,
6,0.676445,0.330714,0.67583,0.336266,0.675278,0.342951,0.680198,0.281391,0.685084,0.210829,0.595189,0.328613,0.600429,0.333488,0.609834,0.338468,0.625697,0.27624,0.650398,0.213266,0.759488,0.208941,0.754348,0.194888,0.740466,0.155259,0.721796,0.1035,0.6926,0.0948256,0.573957,0.198042,0.583381,0.185235,0.61143,0.149611,0.645074,0.100075,0.674527,0.0952561,0.691292,0.0249541,0.686883,0.0678022,0.686366,0.0883005,0.687648,0.10731,0.682468,0.139711,0.67841,0.159639,0.675058,0.175386,0.673781,0.199041,0.669741,0.207795,0.671595,0.0571947,0.670058,0.0504511,0.681467,0.0507218,0.669196,0.0543519,0.70217,0.0550744,0.603664,0.350453,0.613987,0.349317,0.679718,0.354734,0.668323,0.353189,0.595009,0.339023,0.605023,0.337963,0.680806,0.34183,0.669762,0.340392,0.589991,0.331953,0.59983,0.330937,0.681563,0.33417,0.670716,0.332792,0.645074,0.100075,0.61143,0.149611,0.583381,0.185235,0.721796,0.1035,0.740466,0.155259,0.754348,0.194888,0.650398,0.213266,0.625697,0.27624,0.609834,0.338468,0.600429,0.333488,0.685084,0.210829,0.680198,0.281391,0.675278,0.342951,0.67583,0.336266,
7,0.676416,0.330683,0.675813,0.336231,0.675291,0.34291,0.680227,0.281335,0.685127,0.210845,0.595258,0.32867,0.600559,0.333536,0.610054,0.338501,0.625865,0.27624,0.65043,0.213247,0.759504,0.208928,0.754401,0.194859,0.740555,0.155234,0.721936,0.103483,0.692754,0.0947962,0.57414,0.198064,0.583592,0.185258,0.611627,0.149648,0.645232,0.100079,0.674663,0.0951972,0.69137,0.0249145,0.687015,0.0677635,0.686507,0.0882601,0.687746,0.107273,0.682532,0.139673,0.678464,0.159604,0.675105,0.175355,0.673816,0.199018,0.669778,0.207786,0.671644,0.057189,0.670122,0.0504442,0.681515,0.0507026,0.669323,0.0543355,0.702253,0.0550222,0.603952,0.35052,0.614258,0.34931,0.679704,0.354699,0.668311,0.353139,0.595174,0.339106,0.605172,0.337975,0.680777,0.341802,0.669736,0.340349,0.590082,0.332045,0.599907,0.330959,0.681526,0.334147,0.670681,0.332754,0.645232,0.100079,0.611627,0.149648,0.583592,0.185258,0.721936,0.103483,0.740555,0.155234,0.754401,0.194859,0.65043,0.213247,0.625865,0.27624,0.610054,0.338501,0.600559,0.333536,0.685127,0.210845,0.680227,0.281335,0.675291,0.34291,0.675813,0.336231,
8,0.676378,0.330663,0.675802,0.336194,0.675328,0.342839,0.680288,0.281285,0.68528,0.21078,0.59533,0.328724,0.6007,0.333587,0.610308,0.338543,0.626035,0.276228,0.650596,0.213247,0.759494,0.208924,0.754465,0.194831,0.740629,0.155232,0.722006,0.103491,0.692858,0.09477,0.574329,0.19809,0.583788,0.185293,0.611796,0.149682,0.645344,0.100078,0.674751,0.0951766,0.691472,0.0248945,0.687108,0.0677434,0.686589,0.0882387,0.68782,0.107252,0.682627,0.139652,0.678579,0.159582,0.675235,0.175332,0.673974,0.198992,0.669937,0.207756,0.67167,0.0571866,0.670172,0.0504334,0.681548,0.0507003,0.669434,0.0543055,0.702311,0.0550164,0.604244,0.350585,0.61453,0.349324,0.679735,0.354635,0.668341,0.353081,0.595336,0.33918,0.605317,0.338,0.680763,0.341766,0.669722,0.340318,0.590169,0.332121,0.599977,0.330989,0.681487,0.334126,0.670642,0.332739,0.645344,0.100078,0.611796,0.149682,0.583788,0.185293,0.722006,0.103491,0.740629,0.155232,0.754465,0.194831,0.650596,0.213247,0.626035,0.276228,0.610308,0.338543,0.6007,0.333587,0.68528,0.21078,0.680288,0.281285,0.675328,0.342839,0.675802,0.336194,
9,0.676408,0.33062,0.675826,0.336143,0.675338,0.342775,0.680397,0.281211,0.685328,0.210755,0.59541,0.328773,0.600855,0.333635,0.610581,0.338589,0.626226,0.276251,0.650641,0.213235,0.7595,0.208927,0.754527,0.194809,0.740708,0.155201,0.722154,0.103477,0.693004,0.0947671,0.574551,0.19813,0.583983,0.185316,0.611975,0.149712,0.645476,0.100067,0.674856,0.0951347,0.69155,0.0248666,0.687222,0.0677175,0.68669,0.0882126,0.687854,0.107225,0.682654,0.139633,0.678615,0.159567,0.675278,0.17532,0.674017,0.19898,0.669983,0.20774,0.671715,0.0571625,0.670232,0.0504151,0.681595,0.0506687,0.669547,0.0542991,0.702385,0.054971,0.604569,0.350657,0.614832,0.349331,0.679756,0.354571,0.668363,0.353024,0.595519,0.339256,0.605479,0.338014,0.680793,0.341713,0.669751,0.340273,0.590268,0.3322,0.600056,0.331006,0.68152,0.33408,0.670675,0.3327,0.645476,0.100067,0.611975,0.149712,0.583983,0.185316,0.722154,0.103477,0.740708,0.155201,0.754527,0.194809,0.650641,0.213235,0.626226,0.276251,0.610581,0.338589,0.600855,0.333635,0.685328,0.210755,0.680397,0.281211,0.675338,0.342775,0.675826,0.336143,
10,0.67636,0.330614,0.675786,0.336114,0.675316,0.342701,0.680384,0.281141,0.6854,0.21064,0.595407,0.328851,0.600955,0.333712,0.610864,0.338664,0.626368,0.276287,0.650739,0.213197,0.759457,0.208905,0.754542,0.194757,0.740754,0.155167,0.722258,0.103454,0.693126,0.0947388,0.574767,0.198211,0.58415,0.185369,0.612121,0.149755,0.645582,0.100077,0.67496,0.0951004,0.691594,0.0248538,0.687315,0.0677037,0.686791,0.0881954,0.68793,0.107215,0.682719,0.139611,0.678685,0.159534,0.675353,0.175276,0.674113,0.198927,0.670072,0.207671,0.671735,0.0572149,0.670263,0.0504536,0.681614,0.0507063,0.669635,0.0542956,0.702434,0.0549651,0.604865,0.350749,0.615096,0.349382,0.679719,0.354511,0.668327,0.352957,0.595634,0.339352,0.605564,0.338071,0.680745,0.341693,0.669705,0.340244,0.590278,0.332295,0.600038,0.331064,0.681467,0.33408,0.670625,0.332692,0.645582,0.100077,0.612121,0.149755,0.58415,0.185369,0.722258,0.103454,0.740754,0.155167,0.754542,0.194757,0.650739,0.213197,0.626368,0.276287,0.610864,0.338664,0.600955,0.333712,0.6854,0.21064,0.680384,0.281141,0.675316,0.342701,0.675786,0.336114,
