Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.581783,0.347231,0.582756,0.339788,0.584616,0.325851,0.593139,0.287641,0.604078,0.238177,0.63034,0.348164,0.626905,0.340525,0.621747,0.326171,0.625424,0.287314,0.628229,0.238316,0.545116,0.235682,0.552826,0.225544,0.573797,0.196629,0.59708,0.165659,0.619507,0.162025,0.68538,0.23349,0.678901,0.224543,0.664559,0.195835,0.651161,0.16485,0.632103,0.161798,0.63508,0.129201,0.628912,0.148979,0.625822,0.156703,0.62318,0.164166,0.62104,0.184907,0.61982,0.198869,0.618804,0.210458,0.616264,0.223475,0.616198,0.233325,0.631349,0.160548,0.636791,0.15405,0.627469,0.153479,0.643884,0.146133,0.617915,0.144545,0.624479,0.33261,0.617362,0.333518,0.579474,0.33213,0.586862,0.333549,0.630147,0.343186,0.622849,0.344139,0.578298,0.342237,0.585889,0.343712,0.633822,0.349576,0.626407,0.350557,0.577527,0.348392,0.585246,0.349903,0.651161,0.16485,0.664559,0.195835,0.678901,0.224543,0.59708,0.165659,0.573797,0.196629,0.552826,0.225544,0.628229,0.238316,0.625424,0.287314,0.621747,0.326171,0.626905,0.340525,0.604078,0.238177,0.593139,0.287641,0.584616,0.325851,0.582756,0.339788,
2,0.581781,0.347222,0.58276,0.339767,0.584619,0.32581,0.593185,0.287625,0.604034,0.238072,0.630359,0.348188,0.626919,0.340548,0.621751,0.326185,0.625434,0.287333,0.62819,0.238285,0.544997,0.235628,0.552735,0.225486,0.573716,0.196574,0.597095,0.165661,0.619531,0.162092,0.685444,0.233434,0.678929,0.224546,0.664483,0.195859,0.651203,0.164888,0.632137,0.161883,0.635023,0.129118,0.628922,0.148999,0.625865,0.156751,0.623247,0.164151,0.621068,0.184832,0.619824,0.198777,0.618788,0.21036,0.616249,0.223418,0.616165,0.23326,0.631278,0.160463,0.636726,0.153973,0.627398,0.153387,0.643873,0.14613,0.617889,0.144503,0.624491,0.332616,0.617374,0.333532,0.579512,0.332097,0.586906,0.333495,0.630165,0.343202,0.622866,0.344163,0.578317,0.342226,0.585913,0.343679,0.633844,0.349595,0.626428,0.350585,0.577533,0.348393,0.585257,0.349882,0.651203,0.164888,0.664483,0.195859,0.678929,0.224546,0.597095,0.165661,0.573716,0.196574,0.552735,0.225486,0.62819,0.238285,0.625434,0.287333,0.621751,0.326185,0.626919,0.340548,0.604034,0.238072,0.593185,0.287625,0.584619,0.32581,0.58276,0.339767,
3,0.581774,0.347211,0.582755,0.339745,0.584598,0.32577,0.593198,0.28758,0.604022,0.237997,0.630384,0.348179,0.626932,0.34055,0.621747,0.3262,0.625464,0.287326,0.628174,0.238259,0.544869,0.235595,0.552605,0.225436,0.57363,0.196545,0.597102,0.16569,0.619538,0.162133,0.685481,0.233368,0.678945,0.224518,0.664416,0.19587,0.651249,0.164878,0.632145,0.161912,0.634943,0.129025,0.628904,0.148989,0.62587,0.156768,0.623265,0.164136,0.621092,0.184783,0.619847,0.198718,0.618803,0.210297,0.616254,0.223375,0.616157,0.233212,0.631186,0.160368,0.63664,0.153883,0.627307,0.153285,0.643835,0.146101,0.617839,0.144443,0.624477,0.332639,0.617364,0.333553,0.579551,0.332081,0.586952,0.33344,0.630171,0.343209,0.622876,0.344167,0.578338,0.342225,0.585941,0.343639,0.633865,0.34959,0.626453,0.350577,0.57754,0.348402,0.585272,0.349852,0.651249,0.164878,0.664416,0.19587,0.678945,0.224518,0.597102,0.16569,0.57363,0.196545,0.552605,0.225436,0.628174,0.238259,0.625464,0.287326,0.621747,0.3262,0.626932,0.34055,0.604022,0.237997,0.593198,0.28758,0.584598,0.32577,0.582755,0.339745,
4,0.58177,0.3472,0.582757,0.339722,0.584599,0.325729,0.593217,0.287565,0.603986,0.23793,0.630407,0.348191,0.62695,0.340565,0.621765,0.326214,0.625484,0.287369,0.628128,0.238228,0.544735,0.235544,0.55248,0.225372,0.573552,0.196494,0.597111,0.165676,0.619547,0.16216,0.685526,0.233324,0.678987,0.224503,0.664345,0.195885,0.651277,0.164895,0.63216,0.161951,0.63485,0.128923,0.628889,0.148975,0.62589,0.156783,0.6233,0.164119,0.621106,0.184732,0.619845,0.198658,0.618788,0.210234,0.616223,0.223333,0.61612,0.233165,0.631092,0.160264,0.636551,0.153783,0.627212,0.153177,0.643798,0.146062,0.617787,0.144381,0.624483,0.332656,0.617371,0.333565,0.579589,0.332049,0.586995,0.333386,0.630185,0.343227,0.622891,0.344181,0.578356,0.342213,0.585964,0.343605,0.633884,0.349605,0.626474,0.350587,0.577545,0.348402,0.585281,0.349829,0.651277,0.164895,0.664345,0.195885,0.678987,0.224503,0.597111,0.165676,0.573552,0.196494,0.55248,0.225372,0.628128,0.238228,0.625484,0.287369,0.621765,0.326214,0.62695,0.340565,0.603986,0.23793,0.593217,0.287565,0.584599,0.325729,0.582757,0.339722,
5,0.581773,0.347209,0.582765,0.339721,0.584612,0.32571,0.593226,0.287547,0.603974,0.237906,0.630432,0.348201,0.626965,0.340587,0.621762,0.32625,0.62549,0.287408,0.628121,0.238274,0.544554,0.235511,0.552324,0.225336,0.573459,0.196488,0.597096,0.165707,0.61953,0.162196,0.685563,0.233271,0.679025,0.22448,0.664269,0.195903,0.651299,0.164911,0.632152,0.161989,0.634764,0.128813,0.628851,0.148961,0.625879,0.156806,0.623327,0.164133,0.621146,0.184727,0.619884,0.19865,0.618816,0.210226,0.616245,0.223351,0.616121,0.233178,0.630983,0.160147,0.636449,0.153675,0.627106,0.153053,0.643741,0.146029,0.617724,0.144304,0.624478,0.332699,0.61737,0.333608,0.579614,0.332027,0.58702,0.333358,0.630197,0.343252,0.622906,0.344207,0.578369,0.342211,0.585978,0.343597,0.633909,0.349617,0.626501,0.3506,0.577551,0.348412,0.585288,0.349834,0.651299,0.164911,0.664269,0.195903,0.679025,0.22448,0.597096,0.165707,0.573459,0.196488,0.552324,0.225336,0.628121,0.238274,0.62549,0.287408,0.621762,0.32625,0.626965,0.340587,0.603974,0.237906,0.593226,0.287547,0.584612,0.32571,0.582765,0.339721,
6,0.581769,0.347223,0.582765,0.339723,0.584616,0.325694,0.593218,0.287516,0.603955,0.237869,0.630455,0.348214,0.62698,0.340604,0.621768,0.326268,0.625495,0.287413,0.628101,0.238259,0.544413,0.235467,0.552168,0.225264,0.573374,0.196444,0.59709,0.165698,0.619523,0.162193,0.685591,0.233243,0.679067,0.22445,0.664209,0.195919,0.651316,0.164907,0.632146,0.161987,0.634669,0.128679,0.628821,0.148911,0.625873,0.156792,0.623328,0.164116,0.621146,0.1847,0.619881,0.19862,0.618809,0.210196,0.616235,0.223328,0.616104,0.233153,0.630885,0.160008,0.636354,0.153541,0.627007,0.15291,0.64369,0.145954,0.617662,0.144208,0.624483,0.332716,0.617376,0.333628,0.579626,0.332006,0.587033,0.333333,0.630212,0.343268,0.622922,0.344225,0.578373,0.342211,0.585982,0.343593,0.63393,0.34963,0.626524,0.350615,0.57755,0.348426,0.585286,0.349843,0.651316,0.164907,0.664209,0.195919,0.679067,0.22445,0.59709,0.165698,0.573374,0.196444,0.552168,0.225264,0.628101,0.238259,0.625495,0.287413,0.621768,0.326268,0.62698,0.340604,0.603955,0.237869,0.593218,0.287516,0.584616,0.325694,0.582765,0.339723,
7,0.581777,0.347209,0.58277,0.339704,0.584614,0.325668,0.593231,0.287492,0.603936,0.237841,0.630479,0.348229,0.626997,0.340621,0.621777,0.326282,0.625494,0.287412,0.628081,0.238252,0.544269,0.235418,0.552013,0.225185,0.573286,0.19639,0.597086,0.165679,0.619517,0.162183,0.685617,0.233225,0.679111,0.22442,0.664151,0.19593,0.651316,0.164897,0.632141,0.16198,0.634565,0.128518,0.628788,0.148849,0.625868,0.156772,0.623333,0.164099,0.621148,0.184677,0.61988,0.198596,0.618804,0.210172,0.616224,0.223313,0.616088,0.233136,0.630807,0.159845,0.636274,0.153378,0.626922,0.152747,0.643639,0.14585,0.6176,0.144105,0.624484,0.332731,0.617378,0.333641,0.579627,0.331979,0.587034,0.333302,0.630224,0.343285,0.622937,0.344241,0.578379,0.342192,0.585988,0.343571,0.633952,0.349646,0.626548,0.350631,0.577558,0.348413,0.585295,0.349827,0.651316,0.164897,0.664151,0.19593,0.679111,0.22442,0.597086,0.165679,0.573286,0.19639,0.552013,0.225185,0.628081,0.238252,0.625494,0.287412,0.621777,0.326282,0.626997,0.340621,0.603936,0.237841,0.593231,0.287492,0.584614,0.325668,0.58277,0.339704,
8,0.581781,0.347197,0.582774,0.33969,0.584618,0.325651,0.593212,0.287479,0.603921,0.237832,0.63051,0.348238,0.627019,0.340635,0.621786,0.326301,0.625499,0.287416,0.628068,0.238259,0.544126,0.235359,0.551859,0.225101,0.573206,0.196334,0.597083,0.165644,0.619513,0.162138,0.685644,0.233208,0.679153,0.224395,0.664089,0.195942,0.65134,0.164891,0.632138,0.161944,0.63445,0.128351,0.628754,0.148763,0.625866,0.156726,0.623339,0.164078,0.621156,0.184667,0.619885,0.198591,0.618805,0.210171,0.616221,0.223312,0.616078,0.233135,0.630743,0.159676,0.636202,0.153204,0.626846,0.152583,0.643585,0.145716,0.617536,0.144,0.62449,0.332752,0.617386,0.333664,0.579631,0.331959,0.587039,0.333283,0.630244,0.3433,0.622959,0.344258,0.578383,0.342177,0.585992,0.343556,0.633982,0.349655,0.62658,0.350642,0.577562,0.3484,0.585299,0.349814,0.65134,0.164891,0.664089,0.195942,0.679153,0.224395,0.597083,0.165644,0.573206,0.196334,0.551859,0.225101,0.628068,0.238259,0.625499,0.287416,0.621786,0.326301,0.627019,0.340635,0.603921,0.237832,0.593212,0.287479,0.584618,0.325651,0.582774,0.33969,
9,0.581785,0.347185,0.582777,0.339674,0.584621,0.32563,0.593199,0.287465,0.603909,0.237806,0.630532,0.348253,0.627034,0.34065,0.621789,0.326311,0.6255,0.287415,0.628058,0.238246,0.543983,0.235314,0.551699,0.225022,0.573118,0.196281,0.59708,0.165636,0.619508,0.162139,0.685674,0.233199,0.679193,0.224372,0.664029,0.195943,0.651362,0.164897,0.632133,0.161944,0.63435,0.12813,0.628723,0.148684,0.62586,0.156708,0.623336,0.164066,0.621149,0.184646,0.619878,0.198568,0.618798,0.210148,0.616216,0.223295,0.616069,0.233116,0.630693,0.159449,0.636144,0.152975,0.626783,0.152359,0.643539,0.14557,0.617481,0.143868,0.624488,0.332758,0.617386,0.333672,0.579634,0.331936,0.587042,0.333259,0.630255,0.343313,0.622972,0.344273,0.578387,0.342161,0.585996,0.343539,0.634002,0.349669,0.626603,0.350658,0.577567,0.348387,0.585303,0.349801,0.651362,0.164897,0.664029,0.195943,0.679193,0.224372,0.59708,0.165636,0.573118,0.196281,0.551699,0.225022,0.628058,0.238246,0.6255,0.287415,0.621789,0.326311,0.627034,0.34065,0.603909,0.237806,0.593199,0.287465,0.584621,0.32563,0.582777,0.339674,
10,0.581792,0.347178,0.582781,0.339663,0.584619,0.325612,0.59319,0.287459,0.603903,0.23779,0.630558,0.348263,0.627052,0.340661,0.621797,0.32632,0.62548,0.287422,0.628055,0.23824,0.543842,0.235272,0.551537,0.224946,0.573032,0.196233,0.597068,0.165633,0.619498,0.16214,0.685703,0.233206,0.679231,0.224354,0.663981,0.195947,0.651384,0.164905,0.632123,0.161945,0.634248,0.127884,0.628688,0.148596,0.625849,0.156689,0.623329,0.164056,0.621141,0.184627,0.61987,0.198549,0.618791,0.21013,0.616213,0.223286,0.616064,0.233106,0.630662,0.159198,0.6361,0.152718,0.626735,0.152113,0.643491,0.145401,0.617425,0.143729,0.624491,0.332766,0.617392,0.333682,0.579635,0.331918,0.587042,0.333238,0.630271,0.343323,0.62299,0.344284,0.578392,0.34215,0.586001,0.343525,0.634026,0.349678,0.626629,0.350669,0.577574,0.348381,0.585311,0.349791,0.651384,0.164905,0.663981,0.195947,0.679231,0.224354,0.597068,0.165633,0.573032,0.196233,0.551537,0.224946,0.628055,0.23824,0.62548,0.287422,0.621797,0.32632,0.627052,0.340661,0.603903,0.23779,0.59319,0.287459,0.584619,0.325612,0.582781,0.339663,
