Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.548956,0.294895,0.539388,0.292574,0.52353,0.286682,0.527816,0.245091,0.526639,0.195477,0.546967,0.273737,0.538049,0.27305,0.523133,0.269818,0.526146,0.232285,0.526041,0.187565,0.517146,0.21943,0.515713,0.206521,0.513031,0.170855,0.524117,0.130577,0.529595,0.120039,0.516785,0.169019,0.516778,0.163263,0.515618,0.14273,0.52396,0.116572,0.529314,0.1169,0.548713,0.0828589,0.535403,0.104623,0.527618,0.114197,0.520403,0.123499,0.520228,0.143172,0.521388,0.15599,0.522755,0.166477,0.519639,0.180256,0.52412,0.187748,0.554613,0.109525,0.553251,0.103051,0.553198,0.104591,0.542029,0.0973776,0.541463,0.101594,0.522214,0.274774,0.523265,0.278309,0.52253,0.29567,0.523979,0.292556,0.537221,0.274311,0.538419,0.27783,0.538572,0.297509,0.539849,0.294359,0.546237,0.273752,0.547523,0.277259,0.548294,0.298465,0.549465,0.295293,0.52396,0.116572,0.515618,0.14273,0.516778,0.163263,0.524117,0.130577,0.513031,0.170855,0.515713,0.206521,0.526041,0.187565,0.526146,0.232285,0.523133,0.269818,0.538049,0.27305,0.526639,0.195477,0.527816,0.245091,0.52353,0.286682,0.539388,0.292574,
2,0.548945,0.294893,0.53938,0.292556,0.523531,0.286641,0.52786,0.245037,0.526512,0.195443,0.546991,0.273737,0.538075,0.273051,0.523164,0.269814,0.526189,0.23228,0.525982,0.187571,0.517221,0.219396,0.515695,0.206506,0.512997,0.170839,0.524092,0.130581,0.529575,0.120099,0.516739,0.168969,0.516776,0.163259,0.515548,0.142791,0.523975,0.116591,0.529341,0.116962,0.548607,0.082819,0.535398,0.10464,0.527636,0.114226,0.520369,0.123477,0.520042,0.143149,0.52116,0.155975,0.522522,0.166468,0.519478,0.180265,0.524004,0.187741,0.554632,0.109463,0.553262,0.102996,0.553172,0.104533,0.542051,0.0973717,0.541381,0.101581,0.522237,0.274763,0.52329,0.278304,0.522519,0.295625,0.523975,0.292486,0.537242,0.274307,0.538443,0.277832,0.538557,0.297497,0.539841,0.294321,0.546259,0.273748,0.547548,0.277261,0.548276,0.298472,0.549456,0.295274,0.523975,0.116591,0.515548,0.142791,0.516776,0.163259,0.524092,0.130581,0.512997,0.170839,0.515695,0.206506,0.525982,0.187571,0.526189,0.23228,0.523164,0.269814,0.538075,0.273051,0.526512,0.195443,0.52786,0.245037,0.523531,0.286641,0.53938,0.292556,
3,0.54892,0.294899,0.539358,0.29255,0.523512,0.286624,0.527832,0.245002,0.526419,0.195412,0.547007,0.27371,0.53809,0.27304,0.523175,0.269824,0.52617,0.232271,0.52591,0.187579,0.517286,0.21939,0.515692,0.206508,0.512964,0.17085,0.524066,0.130614,0.52955,0.120142,0.51669,0.168918,0.516759,0.163235,0.515516,0.142826,0.523992,0.116568,0.529322,0.116991,0.548487,0.082778,0.53536,0.104645,0.52762,0.114245,0.520327,0.12347,0.519917,0.143134,0.521012,0.155959,0.522371,0.166455,0.519363,0.180262,0.523911,0.187733,0.554613,0.109405,0.553238,0.102943,0.553115,0.104478,0.54204,0.0973571,0.541275,0.101563,0.522254,0.274782,0.523316,0.278315,0.522496,0.295602,0.523961,0.292419,0.537258,0.274302,0.538467,0.277819,0.538529,0.2975,0.539823,0.294279,0.546274,0.273727,0.547571,0.277231,0.548246,0.298493,0.549435,0.29525,0.523992,0.116568,0.515516,0.142826,0.516759,0.163235,0.524066,0.130614,0.512964,0.17085,0.515692,0.206508,0.52591,0.187579,0.52617,0.232271,0.523175,0.269824,0.53809,0.27304,0.526419,0.195412,0.527832,0.245002,0.523512,0.286624,0.539358,0.29255,
4,0.548895,0.294905,0.539337,0.292539,0.523498,0.286591,0.527863,0.244966,0.52635,0.195387,0.547032,0.273698,0.538115,0.273033,0.523201,0.269817,0.526244,0.23227,0.525836,0.187593,0.517384,0.219356,0.515714,0.206484,0.51292,0.17084,0.524001,0.130616,0.529511,0.120174,0.516654,0.16888,0.516759,0.163211,0.515456,0.142875,0.523993,0.116577,0.529313,0.117025,0.548359,0.0827337,0.535318,0.104645,0.527601,0.114259,0.520284,0.123458,0.519791,0.14312,0.520864,0.15595,0.522222,0.16645,0.519253,0.180271,0.523827,0.187732,0.55459,0.109342,0.55321,0.102883,0.553051,0.10442,0.542027,0.0973334,0.54116,0.101546,0.522279,0.274783,0.523343,0.278309,0.522472,0.295565,0.523944,0.292355,0.537281,0.274301,0.538493,0.27781,0.5385,0.297495,0.539802,0.294247,0.546299,0.273719,0.547599,0.277217,0.548214,0.298508,0.549412,0.295238,0.523993,0.116577,0.515456,0.142875,0.516759,0.163211,0.524001,0.130616,0.51292,0.17084,0.515714,0.206484,0.525836,0.187593,0.526244,0.23227,0.523201,0.269817,0.538115,0.273033,0.52635,0.195387,0.527863,0.244966,0.523498,0.286591,0.539337,0.292539,
5,0.548866,0.294927,0.539311,0.292547,0.523482,0.286575,0.527849,0.244952,0.526328,0.195378,0.547055,0.273683,0.538137,0.273035,0.523218,0.269842,0.526264,0.232294,0.525868,0.187625,0.517493,0.219356,0.515735,0.206502,0.512885,0.170876,0.523949,0.130664,0.529449,0.120227,0.516612,0.168839,0.516756,0.163182,0.515411,0.142923,0.524004,0.116582,0.529291,0.117066,0.548185,0.0826908,0.535241,0.104659,0.527556,0.114293,0.520233,0.123476,0.519703,0.143129,0.520775,0.155958,0.522144,0.166459,0.51922,0.180292,0.523819,0.187747,0.554535,0.109279,0.553145,0.102827,0.552954,0.104359,0.541972,0.097329,0.541012,0.101526,0.522303,0.274811,0.523374,0.278334,0.522442,0.295546,0.523918,0.292329,0.537304,0.274306,0.538523,0.277812,0.538467,0.297503,0.539773,0.294248,0.546323,0.273707,0.547629,0.277201,0.54818,0.298531,0.549382,0.295254,0.524004,0.116582,0.515411,0.142923,0.516756,0.163182,0.523949,0.130664,0.512885,0.170876,0.515735,0.206502,0.525868,0.187625,0.526264,0.232294,0.523218,0.269842,0.538137,0.273035,0.526328,0.195378,0.527849,0.244952,0.523482,0.286575,0.539311,0.292547,
6,0.54884,0.294954,0.53929,0.29256,0.523469,0.286564,0.527813,0.244942,0.526276,0.195369,0.547079,0.273673,0.538161,0.273031,0.523243,0.269843,0.526271,0.232293,0.525829,0.187632,0.517607,0.219326,0.515769,0.206478,0.512855,0.170871,0.5239,0.13067,0.529399,0.120239,0.516594,0.168813,0.516749,0.163147,0.515383,0.142961,0.523999,0.116576,0.52925,0.117076,0.548022,0.0826258,0.535163,0.10464,0.527507,0.114294,0.520183,0.123474,0.519631,0.143125,0.5207,0.155955,0.522072,0.166457,0.519162,0.180294,0.52377,0.187747,0.554475,0.109196,0.553079,0.102748,0.552856,0.10428,0.541917,0.0972874,0.540868,0.101487,0.522327,0.274813,0.523402,0.278335,0.522416,0.295533,0.523895,0.292312,0.537327,0.274303,0.538549,0.277808,0.538439,0.297515,0.539747,0.294256,0.546345,0.273697,0.547656,0.27719,0.54815,0.29856,0.549354,0.295278,0.523999,0.116576,0.515383,0.142961,0.516749,0.163147,0.5239,0.13067,0.512855,0.170871,0.515769,0.206478,0.525829,0.187632,0.526271,0.232293,0.523243,0.269843,0.538161,0.273031,0.526276,0.195369,0.527813,0.244942,0.523469,0.286564,0.53929,0.29256,
7,0.548815,0.294951,0.539265,0.292553,0.523447,0.286552,0.527792,0.244924,0.526252,0.195358,0.547098,0.273666,0.538181,0.273029,0.523267,0.269841,0.526273,0.232293,0.525815,0.187637,0.517745,0.219282,0.515809,0.206445,0.512819,0.170858,0.523845,0.130668,0.529356,0.120243,0.516592,0.168791,0.516747,0.16311,0.515351,0.142994,0.523975,0.116574,0.529219,0.117079,0.547847,0.0825419,0.535085,0.10461,0.527463,0.114288,0.520142,0.123468,0.519577,0.143119,0.520648,0.155949,0.522025,0.166452,0.51913,0.180295,0.523746,0.187745,0.554419,0.109087,0.55301,0.102641,0.552761,0.104179,0.541851,0.0972227,0.540728,0.10144,0.522346,0.274817,0.523426,0.278335,0.522391,0.29552,0.523867,0.292297,0.537344,0.274304,0.538571,0.277804,0.538414,0.297509,0.539719,0.294247,0.546362,0.273693,0.547678,0.277181,0.548125,0.298557,0.549327,0.295273,0.523975,0.116574,0.515351,0.142994,0.516747,0.16311,0.523845,0.130668,0.512819,0.170858,0.515809,0.206445,0.525815,0.187637,0.526273,0.232293,0.523267,0.269841,0.538181,0.273029,0.526252,0.195358,0.527792,0.244924,0.523447,0.286552,0.539265,0.292553,
8,0.548797,0.294948,0.539247,0.292547,0.523431,0.286541,0.527786,0.244922,0.526255,0.195354,0.547128,0.273645,0.538211,0.273017,0.523297,0.26984,0.526282,0.23229,0.525831,0.187642,0.51788,0.219229,0.515864,0.2064,0.512803,0.170834,0.523795,0.13065,0.529292,0.120219,0.516599,0.168767,0.516759,0.163074,0.515326,0.143028,0.523981,0.116561,0.529168,0.11706,0.547663,0.0824561,0.534983,0.104566,0.527393,0.114265,0.520093,0.12346,0.519561,0.143112,0.520648,0.155943,0.522036,0.166446,0.51914,0.180291,0.523756,0.187744,0.554334,0.108976,0.552914,0.102529,0.552645,0.104081,0.541757,0.0971386,0.540577,0.101396,0.522377,0.274818,0.523463,0.278334,0.522372,0.295509,0.523848,0.292286,0.537373,0.274293,0.538606,0.277792,0.538394,0.297503,0.5397,0.294241,0.546392,0.273673,0.547713,0.277159,0.548105,0.298554,0.549308,0.29527,0.523981,0.116561,0.515326,0.143028,0.516759,0.163074,0.523795,0.13065,0.512803,0.170834,0.515864,0.2064,0.525831,0.187642,0.526282,0.23229,0.523297,0.26984,0.538211,0.273017,0.526255,0.195354,0.527786,0.244922,0.523431,0.286541,0.539247,0.292547,
9,0.54877,0.294949,0.539222,0.292544,0.523408,0.286532,0.527776,0.24492,0.526215,0.195349,0.547141,0.273642,0.538226,0.273016,0.523316,0.269838,0.526287,0.232287,0.525811,0.187641,0.518036,0.219182,0.515922,0.206363,0.512772,0.170821,0.523759,0.130653,0.529265,0.120228,0.516625,0.168742,0.516777,0.163037,0.515288,0.143056,0.524,0.116557,0.529143,0.117068,0.547432,0.0823297,0.534896,0.104522,0.527357,0.114259,0.520063,0.123458,0.51951,0.14311,0.520597,0.155941,0.521987,0.166444,0.519102,0.18029,0.523723,0.187742,0.554278,0.108805,0.55283,0.102364,0.552541,0.103924,0.541664,0.0970423,0.540425,0.101325,0.522389,0.274819,0.523481,0.278332,0.522345,0.295499,0.52382,0.292276,0.537383,0.274295,0.538622,0.277791,0.538367,0.297499,0.539672,0.294238,0.546401,0.273672,0.547728,0.277155,0.548078,0.298555,0.549279,0.29527,0.524,0.116557,0.515288,0.143056,0.516777,0.163037,0.523759,0.130653,0.512772,0.170821,0.515922,0.206363,0.525811,0.187641,0.526287,0.232287,0.523316,0.269838,0.538226,0.273016,0.526215,0.195349,0.527776,0.24492,0.523408,0.286532,0.539222,0.292544,
10,0.548752,0.294948,0.539205,0.29254,0.523393,0.286524,0.527779,0.244916,0.526198,0.195343,0.547159,0.273629,0.538245,0.273008,0.523338,0.269833,0.526305,0.232293,0.525809,0.187637,0.518196,0.219136,0.515983,0.206327,0.512745,0.170811,0.523736,0.130659,0.529236,0.120239,0.516671,0.168726,0.5168,0.163004,0.515265,0.143078,0.524025,0.116552,0.529117,0.117077,0.547172,0.0821883,0.534799,0.104474,0.527318,0.114254,0.520031,0.123458,0.51946,0.143109,0.520549,0.15594,0.521947,0.166442,0.519078,0.180291,0.523709,0.187739,0.554216,0.108609,0.552732,0.102176,0.55243,0.103746,0.541547,0.096932,0.540269,0.101248,0.522407,0.274816,0.523504,0.278327,0.522327,0.295491,0.5238,0.292266,0.537399,0.274288,0.538643,0.277782,0.53835,0.297496,0.539653,0.294233,0.546417,0.273661,0.547749,0.277142,0.548061,0.298554,0.54926,0.295268,0.524025,0.116552,0.515265,0.143078,0.5168,0.163004,0.523736,0.130659,0.512745,0.170811,0.515983,0.206327,0.525809,0.187637,0.526305,0.232293,0.523338,0.269833,0.538245,0.273008,0.526198,0.195343,0.527779,0.244916,0.523393,0.286524,0.539205,0.29254,
