Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.57376,0.350239,0.567608,0.344749,0.557805,0.333839,0.564761,0.294409,0.569068,0.246796,0.600608,0.335112,0.592427,0.331036,0.57924,0.322305,0.582107,0.285426,0.582141,0.241518,0.527265,0.260203,0.531123,0.248819,0.541878,0.217664,0.561697,0.184867,0.577474,0.177659,0.605652,0.226649,0.602169,0.220527,0.593392,0.199576,0.590771,0.175569,0.584056,0.175529,0.596808,0.147134,0.585784,0.16495,0.579507,0.172395,0.573832,0.179633,0.573105,0.197589,0.573526,0.209664,0.574131,0.219723,0.571116,0.231944,0.574164,0.240065,0.599674,0.172523,0.601436,0.166561,0.596463,0.16746,0.597704,0.160038,0.58356,0.162422,0.580363,0.327562,0.57706,0.330459,0.554156,0.341827,0.559647,0.340395,0.593761,0.332596,0.590527,0.335578,0.564395,0.348833,0.569932,0.347323,0.60208,0.33542,0.598891,0.338452,0.570731,0.353012,0.576297,0.351455,0.590771,0.175569,0.593392,0.199576,0.602169,0.220527,0.561697,0.184867,0.541878,0.217664,0.531123,0.248819,0.582141,0.241518,0.582107,0.285426,0.57924,0.322305,0.592427,0.331036,0.569068,0.246796,0.564761,0.294409,0.557805,0.333839,0.567608,0.344749,
2,0.573751,0.350234,0.567605,0.344729,0.557806,0.333797,0.564817,0.294373,0.568959,0.246729,0.600636,0.335123,0.592453,0.331048,0.579264,0.322312,0.582141,0.285433,0.582082,0.241507,0.527235,0.260173,0.531053,0.248789,0.541808,0.217635,0.56169,0.184868,0.577476,0.177713,0.605654,0.226596,0.602182,0.220524,0.593312,0.199615,0.590802,0.175592,0.584093,0.175593,0.596708,0.147081,0.585787,0.164966,0.579543,0.172427,0.573847,0.179612,0.573003,0.197537,0.573383,0.209607,0.573973,0.219666,0.571005,0.231916,0.574071,0.24003,0.599646,0.172464,0.601406,0.166506,0.596406,0.167398,0.597712,0.160035,0.583492,0.162397,0.580385,0.32756,0.577083,0.330464,0.554171,0.341784,0.559669,0.340328,0.593786,0.332601,0.590553,0.33559,0.564396,0.348818,0.56994,0.347285,0.602108,0.335426,0.59892,0.338466,0.570723,0.353015,0.576296,0.351434,0.590802,0.175592,0.593312,0.199615,0.602182,0.220524,0.56169,0.184868,0.541808,0.217635,0.531053,0.248789,0.582082,0.241507,0.582141,0.285433,0.579264,0.322312,0.592453,0.331048,0.568959,0.246729,0.564817,0.294373,0.557806,0.333797,0.567605,0.344729,
3,0.57373,0.35023,0.567586,0.344714,0.55778,0.33377,0.564806,0.294332,0.568892,0.246677,0.60066,0.335104,0.59247,0.331043,0.57927,0.322324,0.582145,0.285423,0.582026,0.241497,0.527193,0.260167,0.530968,0.248774,0.541735,0.21763,0.561679,0.184894,0.577466,0.177749,0.605639,0.226539,0.602179,0.2205,0.593259,0.199638,0.590836,0.175575,0.584087,0.175617,0.596587,0.147024,0.585753,0.164963,0.579536,0.172442,0.573831,0.179601,0.572938,0.197503,0.573302,0.209567,0.573885,0.219626,0.570935,0.231891,0.574006,0.240001,0.599582,0.172402,0.601343,0.166448,0.596317,0.167333,0.597684,0.160018,0.583396,0.162362,0.580389,0.327582,0.577095,0.330482,0.554179,0.34176,0.559686,0.340263,0.5938,0.332602,0.590576,0.335586,0.564389,0.348816,0.569943,0.347241,0.60213,0.335411,0.59895,0.338446,0.570707,0.353028,0.57629,0.351404,0.590836,0.175575,0.593259,0.199638,0.602179,0.2205,0.561679,0.184894,0.541735,0.21763,0.530968,0.248774,0.582026,0.241497,0.582145,0.285423,0.57927,0.322324,0.59247,0.331043,0.568892,0.246677,0.564806,0.294332,0.55778,0.33377,0.567586,0.344714,
4,0.573709,0.350227,0.567572,0.344696,0.55777,0.333733,0.564836,0.294308,0.568825,0.246634,0.60069,0.335102,0.592498,0.331046,0.579296,0.322327,0.582205,0.285444,0.581953,0.24149,0.527169,0.260139,0.530902,0.248741,0.54166,0.217604,0.561643,0.184885,0.577447,0.177773,0.605637,0.226499,0.602198,0.220479,0.593187,0.199669,0.590852,0.175585,0.58409,0.175648,0.596455,0.146963,0.585719,0.164957,0.579535,0.172452,0.573822,0.179584,0.572866,0.197469,0.573208,0.209531,0.573781,0.21959,0.570848,0.231874,0.573931,0.239978,0.599514,0.172333,0.601275,0.166383,0.596221,0.167264,0.597656,0.159992,0.583293,0.162327,0.580409,0.327592,0.577118,0.330485,0.554186,0.34172,0.5597,0.3402,0.593824,0.33261,0.590602,0.335588,0.564381,0.348803,0.569942,0.347204,0.602158,0.335414,0.598981,0.338443,0.570688,0.353033,0.576278,0.351385,0.590852,0.175585,0.593187,0.199669,0.602198,0.220479,0.561643,0.184885,0.54166,0.217604,0.530902,0.248741,0.581953,0.24149,0.582205,0.285444,0.579296,0.322327,0.592498,0.331046,0.568825,0.246634,0.564836,0.294308,0.55777,0.333733,0.567572,0.344696,
5,0.573692,0.350241,0.56756,0.344697,0.557768,0.333713,0.564833,0.294291,0.568804,0.246618,0.60072,0.335098,0.592521,0.331057,0.579307,0.322358,0.582223,0.285474,0.581971,0.241528,0.52712,0.260141,0.530816,0.248743,0.541582,0.217621,0.561603,0.18492,0.577401,0.177811,0.605628,0.226453,0.602215,0.220454,0.593122,0.199701,0.59087,0.175594,0.584073,0.175682,0.596295,0.146897,0.58565,0.164956,0.579503,0.172477,0.573806,0.179595,0.572834,0.197466,0.573174,0.209526,0.573748,0.219586,0.57084,0.231889,0.573927,0.239991,0.599416,0.172259,0.601176,0.166316,0.596098,0.167186,0.597591,0.159977,0.583164,0.162284,0.580424,0.327628,0.577138,0.33052,0.554181,0.341696,0.559697,0.340169,0.593847,0.332624,0.590631,0.335601,0.564367,0.348803,0.56993,0.347198,0.602187,0.335412,0.599017,0.338439,0.570669,0.353047,0.576262,0.351393,0.59087,0.175594,0.593122,0.199701,0.602215,0.220454,0.561603,0.18492,0.541582,0.217621,0.530816,0.248743,0.581971,0.241528,0.582223,0.285474,0.579307,0.322358,0.592521,0.331057,0.568804,0.246618,0.564833,0.294291,0.557768,0.333713,0.56756,0.344697,
6,0.573673,0.35026,0.567545,0.344703,0.557761,0.333699,0.564804,0.294271,0.568759,0.246596,0.600749,0.335098,0.592546,0.331063,0.579328,0.322368,0.58223,0.285475,0.581935,0.241523,0.527101,0.260121,0.530738,0.248709,0.541512,0.217603,0.561569,0.184917,0.577366,0.177814,0.605629,0.226426,0.60223,0.220422,0.593074,0.199728,0.590876,0.175588,0.584044,0.175685,0.596138,0.146812,0.585584,0.164926,0.579468,0.17247,0.573776,0.179586,0.572788,0.19745,0.573124,0.209508,0.573698,0.219569,0.570797,0.231877,0.573886,0.239978,0.599321,0.172166,0.601079,0.166226,0.595978,0.167092,0.597527,0.159928,0.583036,0.162224,0.580443,0.327638,0.57716,0.330531,0.554171,0.341676,0.559688,0.340145,0.59387,0.33263,0.590658,0.335608,0.56435,0.348808,0.569915,0.347198,0.602215,0.335412,0.599048,0.33844,0.570648,0.353067,0.576243,0.351408,0.590876,0.175588,0.593074,0.199728,0.60223,0.220422,0.561569,0.184917,0.541512,0.217603,0.530738,0.248709,0.581935,0.241523,0.58223,0.285475,0.579328,0.322368,0.592546,0.331063,0.568759,0.246596,0.564804,0.294271,0.557761,0.333699,0.567545,0.344703,
7,0.57366,0.35025,0.567531,0.344688,0.557745,0.333679,0.564797,0.294248,0.568732,0.246579,0.600776,0.3351,0.59257,0.331069,0.579348,0.322374,0.58223,0.285475,0.581915,0.241523,0.527095,0.260093,0.530664,0.248668,0.541436,0.217575,0.561533,0.184906,0.577335,0.177809,0.60564,0.226407,0.60225,0.220389,0.593026,0.19975,0.590861,0.175582,0.584022,0.175683,0.595967,0.146708,0.585516,0.164885,0.579438,0.172457,0.573753,0.179574,0.572756,0.197434,0.573091,0.209493,0.573665,0.219555,0.570771,0.23187,0.573861,0.23997,0.599237,0.172049,0.600987,0.166111,0.595866,0.166979,0.597456,0.159857,0.582912,0.162158,0.580456,0.327647,0.577178,0.330538,0.554154,0.341654,0.55967,0.340121,0.593889,0.332638,0.590682,0.335613,0.564336,0.348793,0.5699,0.347181,0.602239,0.335417,0.599077,0.338442,0.570635,0.353057,0.576229,0.351395,0.590861,0.175582,0.593026,0.19975,0.60225,0.220389,0.561533,0.184906,0.541436,0.217575,0.530664,0.248668,0.581915,0.241523,0.58223,0.285475,0.579348,0.322374,0.59257,0.331069,0.568732,0.246579,0.564797,0.294248,0.557745,0.333679,0.567531,0.344688,
8,0.573649,0.350241,0.567521,0.344677,0.557736,0.333664,0.564781,0.294242,0.568725,0.246573,0.600814,0.335092,0.592603,0.331069,0.579373,0.322384,0.582239,0.285476,0.581918,0.24153,0.527088,0.260057,0.5306,0.24862,0.541377,0.217542,0.561499,0.184881,0.577292,0.177778,0.605657,0.226387,0.602277,0.220359,0.59298,0.199773,0.590876,0.175573,0.583988,0.175657,0.595785,0.1466,0.585431,0.164828,0.579392,0.172425,0.573726,0.179559,0.572749,0.197426,0.573094,0.209488,0.573673,0.219552,0.570775,0.231868,0.573862,0.23997,0.599143,0.171928,0.600881,0.165989,0.595745,0.166865,0.597365,0.159763,0.582778,0.162092,0.58048,0.327659,0.577207,0.33055,0.554144,0.341638,0.55966,0.340104,0.593921,0.33264,0.590719,0.335615,0.564325,0.348781,0.569889,0.347169,0.602276,0.335409,0.599119,0.338434,0.570624,0.353048,0.576217,0.351386,0.590876,0.175573,0.59298,0.199773,0.602277,0.220359,0.561499,0.184881,0.541377,0.217542,0.5306,0.24862,0.581918,0.24153,0.582239,0.285476,0.579373,0.322384,0.592603,0.331069,0.568725,0.246573,0.564781,0.294242,0.557736,0.333664,0.567521,0.344677,
9,0.573632,0.350233,0.567505,0.344666,0.557722,0.333647,0.564767,0.294235,0.568692,0.246558,0.600836,0.335096,0.592621,0.331076,0.579388,0.322388,0.582243,0.285474,0.5819,0.241524,0.527094,0.260031,0.530533,0.248578,0.541304,0.217516,0.561474,0.184877,0.577273,0.177782,0.605687,0.22637,0.602307,0.22033,0.592926,0.199788,0.5909,0.175573,0.58397,0.17566,0.595579,0.14645,0.585358,0.164773,0.579366,0.172414,0.573705,0.179552,0.572714,0.197414,0.573057,0.209475,0.573638,0.219539,0.570748,0.231859,0.573835,0.23996,0.599072,0.171756,0.600789,0.165819,0.595637,0.1667,0.597277,0.159658,0.582648,0.162002,0.580487,0.327664,0.577219,0.330554,0.554127,0.341619,0.559643,0.340086,0.593934,0.332646,0.590737,0.335621,0.564308,0.348769,0.569871,0.347156,0.602294,0.335414,0.599143,0.338438,0.570607,0.35304,0.5762,0.351378,0.5909,0.175573,0.592926,0.199788,0.602307,0.22033,0.561474,0.184877,0.541304,0.217516,0.530533,0.248578,0.5819,0.241524,0.582243,0.285474,0.579388,0.322388,0.592621,0.331076,0.568692,0.246558,0.564767,0.294235,0.557722,0.333647,0.567505,0.344666,
10,0.573625,0.350228,0.567496,0.344657,0.55771,0.333634,0.564763,0.294231,0.568677,0.246548,0.600863,0.335092,0.592644,0.331076,0.579407,0.32239,0.582244,0.285482,0.581897,0.241519,0.527104,0.260006,0.530468,0.248538,0.541234,0.217492,0.561454,0.184878,0.577249,0.177786,0.60573,0.226365,0.602339,0.220306,0.592888,0.199802,0.590926,0.175574,0.583948,0.175664,0.595353,0.146282,0.585276,0.164713,0.579335,0.172403,0.573681,0.179547,0.572678,0.197404,0.573023,0.209465,0.573608,0.21953,0.570731,0.231855,0.573824,0.239954,0.599007,0.171561,0.600695,0.165626,0.595532,0.166515,0.597173,0.159537,0.582516,0.161906,0.580501,0.327667,0.577237,0.330557,0.554115,0.341605,0.55963,0.340069,0.593953,0.332647,0.590761,0.335621,0.564299,0.348761,0.569861,0.347145,0.602318,0.335411,0.599172,0.338435,0.5706,0.353035,0.576191,0.35137,0.590926,0.175574,0.592888,0.199802,0.602339,0.220306,0.561454,0.184878,0.541234,0.217492,0.530468,0.248538,0.581897,0.241519,0.582244,0.285482,0.579407,0.32239,0.592644,0.331076,0.568677,0.246548,0.564763,0.294231,0.55771,0.333634,0.567496,0.344657,
