Frames,RightFootEE,,RightToeBase,,RightFoot,,RightLeg,,RightUpLeg,,LeftFootEE,,LeftToeBase,,LeftFoot,,LeftLeg,,LeftUpLeg,,RightHandEE,,RightHand,,RightForeArm,,RightArm,,RightShoulder,,LeftHandEE,,LeftHand,,LeftForeArm,,LeftArm,,LeftShoulder,,HeadEE,,Head,,Neck,,Spine4,,Spine3,,Spine2,,Spine1,,Spine,,Hips,,Nose,,LeftEye,,RightEye,,LeftEar,,RightEar,,LeftHeelOuter,,LeftHeelInner,,RightHeelOuter,,RightHeelInner,,LeftToeBaseOuter,,LeftToeBaseInner,,RightToeBaseOuter,,RightToeBaseInner,,LeftFootEEOuter,,LeftFootEEInner,,RightFootEEOuter,,RightFootEEInner,,LeftArm_,,LeftForeArm_,,LeftHand_,,RightArm_,,RightForeArm_,,RightHand_,,LeftUpLeg_,,LeftLeg_,,LeftFoot_,,LeftToeBase_,,RightUpLeg_,,RightLeg_,,RightFoot_,,RightToeBase_,,
1,0.427289,0.326258,0.423244,0.331452,0.415881,0.337824,0.408563,0.280162,0.396538,0.215275,0.367652,0.326716,0.367148,0.331841,0.365969,0.337842,0.365097,0.280906,0.364145,0.215296,0.473276,0.224416,0.463077,0.211761,0.435159,0.173619,0.40914,0.12008,0.382078,0.10989,0.27937,0.218812,0.288907,0.206463,0.309577,0.167917,0.336311,0.117213,0.365368,0.109302,0.374445,0.0534142,0.373722,0.0877964,0.372987,0.104078,0.372061,0.120266,0.373644,0.149122,0.375111,0.167218,0.376541,0.181665,0.377528,0.20304,0.379423,0.211274,0.380429,0.0883546,0.37359,0.0810675,0.384672,0.0809541,0.358834,0.0786626,0.391036,0.0783242,0.361374,0.348001,0.37149,0.347631,0.422013,0.348,0.41259,0.347371,0.362434,0.336402,0.372253,0.336069,0.428432,0.336088,0.419256,0.335516,0.362938,0.329371,0.372588,0.329059,0.432167,0.329018,0.423132,0.328478,0.336311,0.117213,0.309577,0.167917,0.288907,0.206463,0.40914,0.12008,0.435159,0.173619,0.463077,0.211761,0.364145,0.215296,0.365097,0.280906,0.365969,0.337842,0.367148,0.331841,0.396538,0.215275,0.408563,0.280162,0.415881,0.337824,0.423244,0.331452,
2,0.427288,0.326264,0.423238,0.331436,0.41588,0.337767,0.408521,0.280077,0.396544,0.215285,0.367641,0.326705,0.367144,0.331827,0.36598,0.33781,0.365109,0.280869,0.364163,0.215327,0.473455,0.224261,0.463203,0.211702,0.435265,0.173577,0.409109,0.120103,0.382033,0.109995,0.279237,0.218795,0.288867,0.206469,0.309622,0.16803,0.336263,0.117249,0.365335,0.109393,0.374461,0.0533761,0.373706,0.0878261,0.372937,0.104126,0.371953,0.120271,0.373507,0.149196,0.374985,0.167325,0.376442,0.181783,0.377466,0.203148,0.37941,0.211323,0.380528,0.0882425,0.373676,0.0809691,0.384747,0.0808635,0.358861,0.0786432,0.391032,0.0783276,0.361371,0.347969,0.371488,0.347607,0.42196,0.347972,0.412534,0.347303,0.362425,0.336386,0.372243,0.336061,0.428403,0.336096,0.419226,0.335485,0.362924,0.329356,0.372574,0.329052,0.432154,0.329045,0.423117,0.328466,0.336263,0.117249,0.309622,0.16803,0.288867,0.206469,0.409109,0.120103,0.435265,0.173577,0.463203,0.211702,0.364163,0.215327,0.365109,0.280869,0.36598,0.33781,0.367144,0.331827,0.396544,0.215285,0.408521,0.280077,0.41588,0.337767,0.423238,0.331436,
3,0.427289,0.326287,0.423238,0.331442,0.415904,0.337744,0.408494,0.280056,0.396522,0.215293,0.367621,0.326667,0.367137,0.331804,0.365991,0.337811,0.365058,0.280888,0.364144,0.215379,0.473643,0.224147,0.463385,0.211638,0.435378,0.17357,0.409087,0.120162,0.382009,0.110069,0.279141,0.218766,0.288829,0.206451,0.309688,0.168081,0.336213,0.11722,0.365311,0.109447,0.374498,0.0533356,0.373709,0.087842,0.372921,0.104162,0.371905,0.120286,0.373408,0.149247,0.374876,0.167394,0.376343,0.181859,0.377399,0.203221,0.379373,0.211368,0.380631,0.0881453,0.373769,0.0808814,0.384832,0.080784,0.358902,0.0786167,0.391047,0.0783246,0.361399,0.347972,0.371515,0.347592,0.421901,0.347986,0.412469,0.347252,0.362425,0.336369,0.372243,0.336026,0.428369,0.336136,0.419186,0.335461,0.362909,0.329324,0.372558,0.329003,0.432135,0.329102,0.423094,0.328459,0.336213,0.11722,0.309688,0.168081,0.288829,0.206451,0.409087,0.120162,0.435378,0.17357,0.463385,0.211638,0.364144,0.215379,0.365058,0.280888,0.365991,0.337811,0.367137,0.331804,0.396522,0.215293,0.408494,0.280056,0.415904,0.337744,0.423238,0.331442,
4,0.427286,0.326313,0.423229,0.331447,0.415899,0.33771,0.408483,0.279993,0.396542,0.215285,0.367608,0.326639,0.367127,0.331782,0.365982,0.337787,0.365073,0.280836,0.364162,0.21543,0.473846,0.22397,0.463566,0.211527,0.435477,0.173543,0.409049,0.120196,0.381975,0.110136,0.279046,0.218751,0.288772,0.20643,0.309736,0.168169,0.336176,0.117242,0.365285,0.109506,0.374545,0.0532899,0.373705,0.0878549,0.372883,0.104196,0.371834,0.120299,0.373321,0.149298,0.374801,0.167463,0.376287,0.181933,0.377385,0.203291,0.379382,0.211405,0.380736,0.0880412,0.373865,0.0807841,0.384919,0.0807009,0.358943,0.0785772,0.391061,0.0783263,0.361404,0.347953,0.371519,0.347562,0.421842,0.347982,0.412408,0.347205,0.362422,0.336352,0.372238,0.335999,0.428337,0.336165,0.419152,0.335448,0.362899,0.329301,0.372548,0.328969,0.432119,0.32915,0.423076,0.328467,0.336176,0.117242,0.309736,0.168169,0.288772,0.20643,0.409049,0.120196,0.435477,0.173543,0.463566,0.211527,0.364162,0.21543,0.365073,0.280836,0.365982,0.337787,0.367127,0.331782,0.396542,0.215285,0.408483,0.279993,0.415899,0.33771,0.423229,0.331447,
5,0.427272,0.326367,0.42321,0.331484,0.415877,0.337709,0.408466,0.279988,0.396549,0.21528,0.367589,0.326612,0.36712,0.331775,0.365993,0.337806,0.365073,0.280859,0.364188,0.215454,0.474113,0.223809,0.463787,0.211458,0.435596,0.17357,0.409046,0.120283,0.381962,0.110235,0.278953,0.218734,0.288717,0.2064,0.309803,0.168246,0.336153,0.117253,0.365279,0.109575,0.37456,0.0532613,0.373712,0.0878934,0.372871,0.104263,0.371767,0.12036,0.373217,0.149374,0.3747,0.167541,0.376207,0.182005,0.377336,0.203354,0.379376,0.211432,0.380842,0.0879451,0.373957,0.0807033,0.385003,0.080622,0.358981,0.0785765,0.391073,0.078331,0.361423,0.347969,0.371537,0.347568,0.421801,0.347998,0.412366,0.347208,0.362418,0.336346,0.372234,0.335983,0.428309,0.336212,0.419124,0.335483,0.362883,0.329275,0.372531,0.328935,0.4321,0.329212,0.423057,0.328517,0.336153,0.117253,0.309803,0.168246,0.288717,0.2064,0.409046,0.120283,0.435596,0.17357,0.463787,0.211458,0.364188,0.215454,0.365073,0.280859,0.365993,0.337806,0.36712,0.331775,0.396549,0.21528,0.408466,0.279988,0.415877,0.337709,0.42321,0.331484,
6,0.427267,0.326423,0.423202,0.331518,0.415868,0.337708,0.408465,0.279996,0.396553,0.215292,0.367575,0.326588,0.367113,0.331756,0.365999,0.337788,0.365071,0.280855,0.364193,0.21548,0.474328,0.223626,0.464014,0.211323,0.435709,0.17354,0.409036,0.120309,0.381946,0.110271,0.278899,0.218717,0.288654,0.206367,0.309864,0.168301,0.336126,0.117251,0.365264,0.109606,0.374594,0.0531957,0.373711,0.087887,0.372852,0.104283,0.371738,0.12038,0.373179,0.149405,0.374664,0.167577,0.376179,0.182042,0.37732,0.203389,0.379373,0.211457,0.380934,0.087825,0.37404,0.0805907,0.385079,0.0805204,0.359015,0.0785227,0.391086,0.0783091,0.361429,0.347952,0.371543,0.347547,0.421777,0.34801,0.412342,0.347213,0.362412,0.336329,0.372228,0.335962,0.428295,0.336255,0.41911,0.335517,0.362869,0.329252,0.372517,0.328908,0.432092,0.329274,0.423048,0.328571,0.336126,0.117251,0.309864,0.168301,0.288654,0.206367,0.409036,0.120309,0.435709,0.17354,0.464014,0.211323,0.364193,0.21548,0.365071,0.280855,0.365999,0.337788,0.367113,0.331756,0.396553,0.215292,0.408465,0.279996,0.415868,0.337708,0.423202,0.331518,
7,0.42725,0.326443,0.423189,0.331532,0.415863,0.337709,0.40844,0.279994,0.396569,0.215282,0.367557,0.326575,0.367103,0.331743,0.366,0.337769,0.365074,0.280852,0.364212,0.215488,0.47455,0.223409,0.464241,0.211174,0.435825,0.1735,0.409019,0.120329,0.381932,0.110293,0.278861,0.218696,0.288593,0.206326,0.309917,0.168352,0.33611,0.117258,0.365252,0.109623,0.374632,0.0531053,0.373713,0.0878636,0.372835,0.104291,0.37171,0.120391,0.373147,0.149424,0.374638,0.167597,0.376162,0.18206,0.377318,0.203405,0.379384,0.211461,0.381006,0.0876714,0.374106,0.0804438,0.385141,0.0803906,0.359044,0.0784387,0.391103,0.0782746,0.36144,0.347939,0.371553,0.347524,0.421767,0.348015,0.412331,0.347217,0.362406,0.336321,0.372221,0.335945,0.42828,0.33627,0.419093,0.335532,0.362853,0.329243,0.3725,0.328889,0.432074,0.329296,0.423029,0.328592,0.33611,0.117258,0.309917,0.168352,0.288593,0.206326,0.409019,0.120329,0.435825,0.1735,0.464241,0.211174,0.364212,0.215488,0.365074,0.280852,0.366,0.337769,0.367103,0.331743,0.396569,0.215282,0.40844,0.279994,0.415863,0.337709,0.423189,0.331532,
8,0.42724,0.326456,0.423179,0.331541,0.415853,0.33771,0.408464,0.279985,0.39659,0.215267,0.367536,0.326534,0.367092,0.331711,0.366005,0.337744,0.365073,0.280843,0.364237,0.215479,0.474771,0.223183,0.464469,0.211001,0.435935,0.173438,0.409005,0.120323,0.381907,0.110285,0.278831,0.218661,0.288547,0.206276,0.309982,0.168399,0.336082,0.117244,0.365227,0.109615,0.37468,0.0530118,0.373705,0.0878275,0.372802,0.104285,0.371675,0.120403,0.373128,0.149426,0.374632,0.16759,0.376166,0.182046,0.377329,0.203391,0.379403,0.211449,0.381045,0.0875301,0.374147,0.0803016,0.385182,0.0802736,0.35906,0.078336,0.391117,0.0782457,0.361449,0.347914,0.371561,0.347493,0.421756,0.34802,0.412319,0.347221,0.362397,0.336291,0.372211,0.335908,0.42827,0.336281,0.419082,0.335542,0.362833,0.329205,0.37248,0.328845,0.432064,0.329309,0.423019,0.328605,0.336082,0.117244,0.309982,0.168399,0.288547,0.206276,0.409005,0.120323,0.435935,0.173438,0.464469,0.211001,0.364237,0.215479,0.365073,0.280843,0.366005,0.337744,0.367092,0.331711,0.39659,0.215267,0.408464,0.279985,0.415853,0.33771,0.423179,0.331541,
9,0.427227,0.326481,0.423166,0.331561,0.415842,0.337718,0.408477,0.279982,0.396589,0.21528,0.367515,0.326531,0.367082,0.331706,0.366011,0.337725,0.365074,0.280835,0.364239,0.215487,0.474995,0.222953,0.464706,0.210833,0.436052,0.173395,0.408995,0.120342,0.381899,0.110307,0.278816,0.218613,0.28851,0.206219,0.310034,0.168444,0.336066,0.117235,0.36522,0.109636,0.374687,0.0528774,0.373701,0.0877881,0.37279,0.10429,0.371663,0.120413,0.37311,0.149446,0.374614,0.167613,0.376151,0.182068,0.377316,0.203412,0.379399,0.211462,0.381088,0.0872974,0.374183,0.0800828,0.385217,0.0800739,0.359068,0.0782168,0.391121,0.0781822,0.361459,0.347902,0.371571,0.347473,0.421744,0.348031,0.412305,0.347233,0.362389,0.33629,0.372203,0.335901,0.428257,0.336302,0.419069,0.335564,0.362814,0.329205,0.37246,0.328838,0.43205,0.329335,0.423004,0.328631,0.336066,0.117235,0.310034,0.168444,0.28851,0.206219,0.408995,0.120342,0.436052,0.173395,0.464706,0.210833,0.364239,0.215487,0.365074,0.280835,0.366011,0.337725,0.367082,0.331706,0.396589,0.21528,0.408477,0.279982,0.415842,0.337718,0.423166,0.331561,
10,0.427213,0.326498,0.423156,0.331572,0.41584,0.337719,0.408491,0.279969,0.396591,0.215279,0.367494,0.326512,0.367069,0.331687,0.366012,0.337702,0.365111,0.280818,0.364243,0.215481,0.475216,0.222722,0.464946,0.210665,0.436168,0.173356,0.409001,0.120356,0.381898,0.110332,0.278821,0.218562,0.288479,0.206165,0.310082,0.168476,0.336055,0.117223,0.365218,0.109658,0.374682,0.0527293,0.373698,0.0877447,0.372785,0.104296,0.371655,0.120426,0.373095,0.149468,0.374599,0.167635,0.37614,0.182086,0.377307,0.203428,0.379398,0.211465,0.381105,0.0870371,0.374194,0.079839,0.385231,0.0798507,0.359065,0.0780853,0.391124,0.0781114,0.361464,0.347882,0.371576,0.347447,0.421738,0.348035,0.412298,0.347237,0.362378,0.336275,0.372192,0.33588,0.428245,0.336314,0.419056,0.335576,0.362794,0.329188,0.37244,0.328815,0.432036,0.329353,0.422989,0.328649,0.336055,0.117223,0.310082,0.168476,0.288479,0.206165,0.409001,0.120356,0.436168,0.173356,0.464946,0.210665,0.364243,0.215481,0.365111,0.280818,0.366012,0.337702,0.367069,0.331687,0.396591,0.215279,0.408491,0.279969,0.41584,0.337719,0.423156,0.331572,
